id,date,end,interval
10950346,Sun Jan 31 2016 00:00:00 GMT+0000 (GMT),Wed Sep 21 2016 00:00:00 GMT+0100 (BST),234
10949489,Tue Sep 15 2015 00:00:00 GMT+0100 (BST),Tue Sep 15 2015 00:00:00 GMT+0100 (BST),0
10413653,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Fri Jul 01 2011 00:00:00 GMT+0100 (BST),-1126
10820414,Mon Sep 29 2014 00:00:00 GMT+0100 (BST),Mon Sep 29 2014 00:00:00 GMT+0100 (BST),0
10456582,Mon Dec 31 2012 00:00:00 GMT+0000 (GMT),Tue Jan 01 2013 00:00:00 GMT+0000 (GMT),1
10912351,Wed Oct 21 2015 00:00:00 GMT+0100 (BST),Wed Oct 21 2015 00:00:00 GMT+0100 (BST),0
10345751,Mon Jun 03 2013 00:00:00 GMT+0100 (BST),Sat Dec 15 2012 00:00:00 GMT+0000 (GMT),-170
10774642,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Fri Jan 01 2016 00:00:00 GMT+0000 (GMT),1
10529378,Wed Apr 03 2013 00:00:00 GMT+0100 (BST),Wed May 01 2013 00:00:00 GMT+0100 (BST),28
10580806,Fri Nov 30 2012 00:00:00 GMT+0000 (GMT),Tue Jul 30 2013 00:00:00 GMT+0100 (BST),242
10580796,Thu Feb 28 2013 00:00:00 GMT+0000 (GMT),Tue Jul 30 2013 00:00:00 GMT+0100 (BST),152
10580802,Thu Feb 28 2013 00:00:00 GMT+0000 (GMT),Tue Jul 30 2013 00:00:00 GMT+0100 (BST),152
10581029,Mon Dec 31 2012 00:00:00 GMT+0000 (GMT),Tue Jul 30 2013 00:00:00 GMT+0100 (BST),211
10931787,Sat Jul 18 2015 00:00:00 GMT+0100 (BST),Sat Jul 18 2015 00:00:00 GMT+0100 (BST),0
10924892,Wed Jun 24 2015 00:00:00 GMT+0100 (BST),Thu Jun 25 2015 00:00:00 GMT+0100 (BST),1
10553770,Wed Jul 31 2013 00:00:00 GMT+0100 (BST),Sun Sep 01 2013 00:00:00 GMT+0100 (BST),32
10496485,Sun Sep 30 2012 00:00:00 GMT+0100 (BST),Fri Feb 15 2013 00:00:00 GMT+0000 (GMT),138
10159979,Sun Sep 30 2012 00:00:00 GMT+0100 (BST),Sun Jul 01 2012 00:00:00 GMT+0100 (BST),-91
10509494,Mon Jul 23 2012 00:00:00 GMT+0100 (BST),Fri Mar 15 2013 00:00:00 GMT+0000 (GMT),235
10936523,Mon Aug 31 2015 00:00:00 GMT+0100 (BST),Tue Sep 01 2015 00:00:00 GMT+0100 (BST),1
10928584,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Tue Dec 01 2015 00:00:00 GMT+0000 (GMT),-30
10928584,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Tue Dec 01 2015 00:00:00 GMT+0000 (GMT),-30
10517336,Thu Jan 31 2013 00:00:00 GMT+0000 (GMT),Mon Apr 01 2013 00:00:00 GMT+0100 (BST),60
10879238,Fri Jul 31 2015 00:00:00 GMT+0100 (BST),Mon Mar 09 2015 00:00:00 GMT+0000 (GMT),-144
10931683,Mon Aug 31 2015 00:00:00 GMT+0100 (BST),Thu Aug 20 2015 00:00:00 GMT+0100 (BST),-11
10924440,Mon Nov 30 2015 00:00:00 GMT+0000 (GMT),Fri May 01 2015 00:00:00 GMT+0100 (BST),-213
10919635,Mon Jun 08 2015 00:00:00 GMT+0100 (BST),Mon Jun 08 2015 00:00:00 GMT+0100 (BST),0
10939201,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Thu Sep 10 2015 00:00:00 GMT+0100 (BST),-112
10912208,Mon Sep 21 2015 00:00:00 GMT+0100 (BST),Mon Sep 21 2015 00:00:00 GMT+0100 (BST),0
10547785,Thu Feb 28 2013 00:00:00 GMT+0000 (GMT),Sat Jun 01 2013 00:00:00 GMT+0100 (BST),93
10539685,Wed May 16 2012 00:00:00 GMT+0100 (BST),Wed May 01 2013 00:00:00 GMT+0100 (BST),350
