id,length
10951183,122
10951193,122
10946334,122
10950346,367
10950560,91
10961842,121
10950085,122
10949923,29
10949722,122
10949514,122
10949519,122
10960459,121
10949460,30
10949489,122
10947373,122
10947465,122
10948249,122
10948384,122
10948471,122
10947565,122
10948676,122
10948298,30
10947716,424
10948098,122
10948129,122
10948147,30
10947727,30
10948217,122
10904649,119
10941568,121
10394216,244
10413653,366
10873237,121
10820414,182
10456582,378
10473594,27
10785414,180
10912351,272
10908841,180
10773410,119
10837191,183
10410463,365
10918855,180
10738170,121
10882199,181
10394608,396
10972386,121
10527390,121
10613950,121
10613950,121
10613950,121
10613950,121
10613950,121
10500835,120
10345751,366
10650380,365
10666047,119
10248465,12
10945416,29
10938112,122
10939763,121
10787992,119
10934103,121
10934167,121
10749456,121
10889211,119
10938705,121
10938710,29
10943677,121
10929385,121
10939834,29
10942669,121
10311714,0
10636719,364
10774642,365
10937875,29
10937879,29
10931316,120
10931316,120
10666284,119
10930050,121
10944603,121
10933396,121
10933396,121
10930657,121
10831436,182
10949571,30
10936194,29
10939545,182
10928761,121
10784913,393
10654817,395
10939869,121
10939870,29
10936753,121
10936758,121
10882951,395
10882951,395
10529378,30
10928788,121
10928218,121
10953633,121
10944894,152
10941867,121
10933200,121
10933200,121
10939308,152
10939308,152
10604976,119
10604976,119
10235013,457
10580806,365
10580796,365
10580802,365
10581029,365
10931787,121
10945197,122
10788120,424
10915598,366
10798424,392
10798424,392
10798424,392
10939600,121
10975882,121
10935554,121
10924892,119
10930107,121
10938899,122
10938325,121
10946753,122
10939947,121
10940698,121
10937246,121
10943457,366
10943465,121
10942500,182
10942500,182
10932821,121
10932821,121
10934460,121
10553770,365
10496485,366
10159979,136
10930288,121
10931545,121
10929974,121
10929975,121
10930022,121
10924712,121
10924712,121
10928872,121
10928939,121
10928946,30
10873590,152
10662857,119
10660441,119
10926104,119
10939374,121
10935405,30
10932431,121
10509494,375
10934087,183
10931033,121
10928360,121
10925001,30
10944226,121
10927671,121
10927685,121
10939720,121
10940984,121
10936523,31
10827830,121
10560878,121
10937021,121
10928573,121
10928584,30
10928584,30
10479103,120
10933299,121
10933299,121
10909784,119
10924413,27
10509520,121
10923111,121
10928706,366
10925761,121
10939156,29
10879822,181
10672533,121
10672533,121
10672533,121
10804188,119
10939097,121
10641122,0
10935138,121
10933831,121
10928090,30
10930993,121
10933372,30
10918342,395
10915700,119
10585472,30
10517336,378
10933050,30
10495252,120
10909011,119
10962952,122
10928477,457
10879238,34
10931681,121
10931683,32
10930676,121
10927797,121
10797489,119
10927810,121
10925089,30
10866510,121
10924440,0
10919605,119
10919635,119
10746049,121
10948559,122
10633245,29
10939201,32
10657143,423
10657143,423
10912208,122
10942261,121
10942267,59
10956832,121
10941518,121
10554239,395
10554239,395
10942226,121
10942250,426
10904618,119
10904638,119
10908488,119
10229777,396
10923901,119
10547785,379
10924980,119
10840559,121
10667915,121
10927401,121
10927316,121
10949523,122
10944091,122
10479542,120
10539685,366
10621484,364
10926782,121
10930464,121
10947221,122
10931736,121
10924890,121
10924890,121
10926718,183
10926764,121
10668883,119
10613328,119
10613328,119
10613328,119
10922957,121
10924227,119
10761869,122
10921891,119
10916953,180
10914930,183
10537033,365
10537042,365
10540084,364
10918098,272
10918169,119
10935863,121
10937137,121
10937140,121
10647760,119
10935882,121
10914666,302
10914675,119
10962812,122
10216507,392
10216507,392
10216507,392
10905342,119
10411531,122
10602563,367
10905040,119
10556327,30
10647384,27
10647384,27
10923655,27
10926826,30
10924666,119
10942110,121
10952000,121
10797552,119
10909646,119
10909672,119
10906185,119
10906206,119
10945037,121
10926403,30
10800387,426
10527701,376
10917864,119
10936914,182
10644996,122
10644996,122
10644996,122
10936921,121
10588559,121
10935598,121
10914432,27
10415997,394
10914476,302
10914477,121
10908505,119
10908524,117
10908559,180
10184816,120
10916943,119
10922137,121
10923414,119
10647044,119
10921006,119
10977931,370
10907376,119
10920747,119
10920756,119
10973497,30
10640837,395
10918253,119
10919507,152
10792637,150
10785138,150
10793914,119
10793914,119
10617426,149
10617426,149
10919567,119
10920784,121
10918235,121
10918235,121
10946645,122
10923013,119
10821793,121
10821793,121
10821793,121
10898557,367
10907695,119
10907703,119
10907737,119
10918936,119
10950942,128
10645352,30
10635239,30
10100758,146
10909704,119
10909709,119
10909710,119
10609278,365
10909725,396
10752569,122
10606503,121
10754806,122
10904829,119
