Member Number,Current Plan Start Date,Current Plan End Date
10951183,20150523,20150922
10951193,20150523,20150922
10946334,20150504,20150903
10950346,20150920,20160921
10950560,20150520,20150819
10961842,20150630,20151029
10950085,20150519,20150918
10949923,20150618,20150717
10949722,20150518,20150917
10949514,20150516,20150915
10949519,20150516,20150915
10960459,20150626,20151025
10949460,20150516,20150615
10949489,20150516,20150915
10947373,20150507,20150906
10947465,20150507,20150906
10948249,20150511,20150910
10948384,20150512,20150911
10948471,20150512,20150911
10947565,20150508,20150907
10948676,20150513,20150912
10948298,20150511,20150610
10947716,20160108,20170307
10948098,20150511,20150910
10948129,20150511,20150910
10948147,20150511,20150610
10947727,20150508,20150607
10948217,20150511,20150910
10904649,20150105,20150504
10941568,20151220,20160419
10394216,20110409,20111209
10413653,20100630,20110701
10873237,20140922,20150121
10820414,20140331,20140929
10456582,20111220,20130101
10473594,20120116,20120212
10785414,20140107,20140706
10912351,20150122,20151021
10908841,20150115,20150714
10773410,20131127,20140326
10837191,20140526,20141125
10410463,20100925,20110925
10918855,20150206,20150805
10738170,20130827,20131226
10882199,20141013,20150412
10394608,20110107,20120207
10972386,20150803,20151202
10527390,20120403,20120802
10613950,20140604,20141003
10613950,20140604,20141003
10613950,20140604,20141003
10613950,20140604,20141003
10613950,20140604,20141003
10500835,20120223,20120622
10345751,20111215,20121215
10650380,20140210,20150210
10666047,20130221,20130620
10248465,20120503,20120515
10945416,20150603,20150702
10938112,20150501,20150831
10939763,20150413,20150812
10787992,20140113,20140512
10934103,20150401,20150731
10934167,20150327,20150726
10749456,20130925,20140124
10889211,20141112,20150311
10938705,20150409,20150808
10938710,20150409,20150508
10943677,20150427,20150826
10929385,20150310,20150709
10939834,20150413,20150512
10942669,20150423,20150822
10311714,20140901,20140901
10636719,20121127,20131126
10774642,20150101,20160101
10937875,20150408,20150507
10937879,20150408,20150507
10931316,20151117,20160316
10931316,20151117,20160316
10666284,20130227,20130626
10930050,20150312,20150711
10944603,20150429,20150828
10933396,20150324,20150723
10933396,20150324,20150723
10930657,20150316,20150715
10831436,20150407,20151006
10949571,20150517,20150616
10936194,20150331,20150429
10939545,20150413,20151012
10928761,20150309,20150708
10784913,20150207,20160306
10654817,20130122,20140221
10939869,20150413,20150812
10939870,20150413,20150512
10936753,20150401,20150731
10936758,20150401,20150731
10882951,20141017,20151116
10882951,20141017,20151116
10529378,20130401,20130501
10928788,20150309,20150708
10928218,20150306,20150705
10953633,20150601,20150930
10944894,20150501,20150930
10941867,20150421,20150820
10933200,20150324,20150723
10933200,20150324,20150723
10939308,20150813,20160112
10939308,20150813,20160112
10604976,20130119,20130518
10604976,20130119,20130518
10235013,20111115,20130214
10580806,20120730,20130730
10580796,20120730,20130730
10580802,20120730,20130730
10581029,20120730,20130730
10931787,20150319,20150718
10945197,20150530,20150929
10788120,20150113,20160312
10915598,20150131,20160201
10798424,20140202,20150301
10798424,20140202,20150301
10798424,20140202,20150301
10939600,20150414,20150813
10975882,20150817,20151216
10935554,20150731,20151129
10924892,20150226,20150625
10930107,20150313,20150712
10938899,20150501,20150831
10938325,20150409,20150808
10946753,20150505,20150904
10939947,20150415,20150814
10940698,20150415,20150814
10937246,20150404,20150803
10943457,20150901,20160901
10943465,20150427,20150826
10942500,20150422,20151021
10942500,20150422,20151021
10932821,20150323,20150722
10932821,20150323,20150722
10934460,20150328,20150727
10553770,20120901,20130901
10496485,20120215,20130215
10159979,20120216,20120701
10930288,20150313,20150712
10931545,20150318,20150717
10929974,20150312,20150711
10929975,20150312,20150711
10930022,20150331,20150730
10924712,20150626,20151025
10924712,20150626,20151025
10928872,20150309,20150708
10928939,20150316,20150715
10928946,20150309,20150408
10873590,20140923,20150222
10662857,20130209,20130608
10660441,20130202,20130601
10926104,20150228,20150627
10939374,20150411,20150810
10935405,20150330,20150429
10932431,20150321,20150720
10509494,20120305,20130315
10934087,20150327,20150926
10931033,20150316,20150715
10928360,20150306,20150705
10925001,20150301,20150331
10944226,20150428,20150827
10927671,20150304,20150703
10927685,20150304,20150703
10939720,20150413,20150812
10940984,20150416,20150815
10936523,20150801,20150901
10827830,20140425,20140824
10560878,20120617,20121016
10937021,20150402,20150801
10928573,20150308,20150707
10928584,20151101,20151201
10928584,20151101,20151201
10479103,20120123,20120522
10933299,20150324,20150723
10933299,20150324,20150723
10909784,20150116,20150515
10924413,20150225,20150324
10509520,20120309,20120708
10923111,20150301,20150630
10928706,20150701,20160701
10925761,20150331,20150730
10939156,20150410,20150509
10879822,20141006,20150405
10672533,20130311,20130710
10672533,20130311,20130710
10672533,20130311,20130710
10804188,20140217,20140616
10939097,20150410,20150809
10641122,20150401,20150401
10935138,20150330,20150729
10933831,20150401,20150731
10928090,20150305,20150404
10930993,20150316,20150715
10933372,20150330,20150429
10918342,20150604,20160703
10915700,20150130,20150529
10585472,20120808,20120907
10517336,20120319,20130401
10933050,20150324,20150423
10495252,20120213,20120612
10909011,20150115,20150514
10962952,20150703,20151102
10928477,20150707,20161006
10879238,20150203,20150309
10931681,20150401,20150731
10931683,20150719,20150820
10930676,20150316,20150715
10927797,20150304,20150703
10797489,20140131,20140530
10927810,20150304,20150703
10925089,20150301,20150331
10866510,20140901,20141231
10924440,20150501,20150501
10919605,20150209,20150608
10919635,20150209,20150608
10746049,20130917,20140116
10948559,20150512,20150911
10633245,20121115,20121214
10939201,20150809,20150910
10657143,20140228,20150427
10657143,20140228,20150427
10912208,20150522,20150921
10942261,20150421,20150820
10942267,20150622,20150820
10956832,20150612,20151011
10941518,20150419,20150818
10554239,20140730,20150829
10554239,20140730,20150829
10942226,20150421,20150820
10942250,20150821,20161020
10904618,20150105,20150504
10904638,20150105,20150504
10908488,20150113,20150512
10229777,20151030,20161129
10923901,20150224,20150623
10547785,20120518,20130601
10924980,20150226,20150625
10840559,20140604,20141003
10667915,20130304,20130703
10927401,20150303,20150702
10927316,20150303,20150702
10949523,20150518,20150917
10944091,20150506,20150905
10479542,20120124,20120523
10539685,20120430,20130501
10621484,20141101,20151031
10926782,20150302,20150701
10930464,20150315,20150714
10947221,20150507,20150906
10931736,20150318,20150717
10924890,20150323,20150722
10924890,20150323,20150722
10926718,20150302,20150901
10926764,20150302,20150701
10668883,20130228,20130627
10613328,20130203,20130602
10613328,20130203,20130602
10613328,20130203,20130602
10922957,20150301,20150630
10924227,20150224,20150623
10761869,20131024,20140223
10921891,20150217,20150616
10916953,20150216,20150815
10914930,20150812,20160211
10537033,20120501,20130501
10537042,20120501,20130501
10540084,20120501,20130430
10918098,20150204,20151103
10918169,20150209,20150608
10935863,20150331,20150730
10937137,20150403,20150802
10937140,20150403,20150802
10647760,20130106,20130505
10935882,20150331,20150730
10914666,20150211,20151210
10914675,20150128,20150527
10962812,20150730,20151129
10216507,20130206,20140305
10216507,20130206,20140305
10216507,20130206,20140305
10905342,20150201,20150531
10411531,20110829,20111229
10602563,20120922,20130924
10905040,20150107,20150506
10556327,20120702,20120801
10647384,20130204,20130303
10647384,20130204,20130303
10923655,20150225,20150324
10926826,20150302,20150401
10924666,20150225,20150624
10942110,20150430,20150829
10952000,20150616,20151015
10797552,20140201,20140531
10909646,20150116,20150515
10909672,20150201,20150531
10906185,20150108,20150507
10906206,20150108,20150507
10945037,20150601,20150930
10926403,20150301,20150331
10800387,20150401,20160531
10527701,20120404,20130415
10917864,20150203,20150602
10936914,20150402,20151001
10644996,20130518,20130917
10644996,20130518,20130917
10644996,20130518,20130917
10936921,20150402,20150801
10588559,20120815,20121214
10935598,20150422,20150821
10914432,20150225,20150324
10415997,20140102,20150131
10914476,20150930,20160728
10914477,20150928,20160127
10908505,20150113,20150512
10908524,20150115,20150512
10908559,20150113,20150712
10184816,20160126,20160525
10916943,20150201,20150531
10922137,20150619,20151018
10923414,20150223,20150622
10647044,20130104,20130503
10921006,20150216,20150615
10977931,20151224,20161228
10907376,20150112,20150511
10920747,20150212,20150611
