rank,name,pos,team
1,Le'Veon Bell,RB,PIT,
2,David Johnson,RB,ARI,
3,Antonio Brown,WR,PIT,
4,Julio Jones,WR,ATL,
5,Odell Beckham,WR,NYG,
6,LeSean McCoy,RB,BUF,
7,Melvin Gordon,RB,LAC,
8,Jordy Nelson,WR,GB,
9,Mike Evans,WR,TB,
10,Ezekiel Elliott,RB,DAL,
11,DeMarco Murray,RB,TEN,
12,Dez Bryant,WR,DAL,
13,A.J. Green,WR,CIN,
14,Devonta Freeman,RB,ATL,
15,Lamar Miller,RB,HOU,
16,Jay Ajayi,RB,MIA,
17,Jordan Howard,RB,CHI,
18,Todd Gurley,RB,LAR,
19,Rob Gronkowski,TE,NE,
20,Aaron Rodgers,QB,GB,
21,Amari Cooper,WR,OAK,
22,Michael Thomas,WR,NO,
23,Tom Brady,QB,NE,
24,Drew Brees,QB,NO,
25,Demaryius Thomas,WR,DEN,
26,Brandin Cooks,WR,NE,
27,Marshawn Lynch,RB,OAK,
28,Leonard Fournette,RB,JAC,
29,Doug Baldwin,WR,SEA,
30,Christian McCaffrey,RB,CAR,
31,Joe Mixon,RB,CIN,
32,Tyreek Hill,WR,KC,
33,T.Y. Hilton,WR,IND,
34,DeAndre Hopkins,WR,HOU,
35,Terrelle Pryor,WR,WAS,
36,Dalvin Cook,RB,MIN,
37,Davante Adams,WR,GB,
38,Alshon Jeffery,WR,PHI,
39,Allen Robinson,WR,JAC,
40,Michael Crabtree,WR,OAK,
41,Keenan Allen,WR,LAC,
42,Kareem Hunt,RB,KC,
43,Brandon Marshall,WR,NYG,
44,Emmanuel Sanders,WR,DEN,
45,Matt Ryan,QB,ATL,
46,Larry Fitzgerald,WR,ARI,
47,Kelvin Benjamin,WR,CAR,
48,Carlos Hyde,RB,SF,
49,Sammy Watkins,WR,LAR,
50,Martavis Bryant,WR,PIT,
51,Ty Montgomery,RB,GB,
52,Isaiah Crowell,RB,CLE,
53,Jamison Crowder,WR,WAS,
54,Stefon Diggs,WR,MIN,
55,Jarvis Landry,WR,MIA,
56,Golden Tate,WR,DET,
57,Travis Kelce,TE,KC,
58,Greg Olsen,TE,CAR,
59,Russell Wilson,QB,SEA,
60,Mark Ingram,RB,NO,
61,C.J. Anderson,RB,DEN,
62,Tevin Coleman,RB,ATL,
63,Jonathan Stewart,RB,CAR,
64,Adrian Peterson,RB,NO,
65,Eddie Lacy,RB,SEA,
66,Doug Martin,RB,TB,
67,Jordan Matthews,WR,BUF,
68,DeVante Parker,WR,MIA,
69,Jordan Reed,TE,WAS,
70,Martellus Bennett,TE,GB,
71,Jimmy Graham,TE,SEA,
72,Jeremy Hill,RB,CIN,
73,Tyrell Williams,WR,LAC,
74,Ben Roethlisberger,QB,PIT,
75,Terrance West,RB,BAL,
76,Derrick Henry,RB,TEN,
77,Donte Moncrief,WR,IND,
78,LeGarrette Blount,RB,PHI,
79,Danny Woodhead,RB,BAL,
80,Corey Davis,WR,TEN,
81,Latavius Murray,RB,MIN,
82,Frank Gore,RB,IND,
83,Mike Gillislee,RB,NE,
84,Jeremy Maclin,WR,BAL,
85,Eric Decker,WR,TEN,
86,Pierre Garcon,WR,SF,
87,Ameer Abdullah,RB,DET,
88,Derek Carr,QB,OAK,
89,Paul Perkins,RB,NYG,
90,Rob Kelley,RB,WAS,
91,Delanie Walker,TE,TEN,
92,Tyler Eifert,TE,CIN,
93,Thomas Rawls,RB,SEA,
94,C.J. Prosise,RB,SEA,
95,DeSean Jackson,WR,TB,
96,Chris Hogan,WR,NE,
97,Willie Snead,WR,NO,
98,Mike Wallace,WR,BAL,
99,Kenny Britt,WR,CLE,
100,Rishard Matthews,WR,TEN,
101,Adam Thielen,WR,MIN,
102,Matt Forte,RB,NYJ,
103,Bilal Powell,RB,NYJ,
104,Matthew Stafford,QB,DET,
105,Hunter Henry,TE,LAC,
106,Duke Johnson,RB,CLE,
107,Theo Riddick,RB,DET,
108,James White,RB,NE,
109,Jamaal Williams,RB,GB,
110,Rex Burkhead,RB,NE,
111,Andrew Luck,QB,IND,
112,Marvin Jones,WR,DET,
113,Ted Ginn,WR,NO,
114,Corey Coleman,WR,CLE,
115,Dak Prescott,QB,DAL,
116,Kirk Cousins,QB,WAS,
117,Cam Newton,QB,CAR,
118,John Brown,WR,ARI,
119,Randall Cobb,WR,GB,
120,Charcandrick West,RB,KC,
121,Malcolm Mitchell,WR,NE,
122,Robby Anderson,WR,NYJ,
123,Zay Jones,WR,BUF,
124,Danny Amendola,WR,NE,
125,Kevin White,WR,CHI,
126,Samaje Perine,RB,WAS,
127,Zach Ertz,TE,PHI,
128,Darren McFadden,RB,DAL,
129,Jamaal Charles,RB,DEN,
130,Philip Rivers,QB,LAC,
131,Marcus Mariota,QB,TEN,
132,Jameis Winston,QB,TB,
133,Kenny Stills,WR,MIA,
134,Sterling Shepard,WR,NYG,
135,Devontae Booker,RB,DEN,
136,Kyle Rudolph,TE,MIN,
137,Tyler Lockett,WR,SEA,
138,Marqise Lee,WR,JAC,
139,Darren Sproles,RB,PHI,
140,Jacquizz Rodgers,RB,TB,
141,Phillip Dorsett,WR,IND,
142,J.J. Nelson,WR,ARI,
143,Austin Hooper,TE,ATL,
144,Jack Doyle,TE,IND,
145,Coby Fleener,TE,NO,
146,Eric Ebron,TE,DET,
147,Chris Thompson,RB,WAS,
148,Dion Lewis,RB,NE,
149,T.J. Yeldon,RB,JAC,
150,Alvin Kamara,RB,NO,
151,John Ross,WR,CIN,
152,Carson Palmer,QB,ARI,
153,Tyrod Taylor,QB,BUF,
154,Mike Tolbert,RB,BUF,
155,James Conner,RB,PIT,
156,Alfred Morris,RB,DAL,
157,Nelson Agholor,WR,PHI,
158,Julius Thomas,TE,MIA,
159,Jason Witten,TE,DAL,
160,Giovani Bernard,RB,CIN,
161,Taylor Gabriel,WR,ATL,
162,Mohamed Sanu,WR,ATL,
163,Cole Beasley,WR,DAL,
164,Mike Williams,WR,LAC,
165,Josh Doctson,WR,WAS,
166,Kenny Golladay,WR,DET,
167,Jalen Richard,RB,OAK,
168,DeAndre Washington,RB,OAK,
