x,General,Ameriball,Spoilers,Politics,Sports,Florida,Pokemon
0,289,1504,0,0,0,0,0
1,962,1220,0,0,0,0,0
2,574,394,203,0,0,0,0
3,1096,512,122,0,0,0,0
4,487,1099,25,0,0,0,0
5,842,2527,1046,0,0,0,0
6,1521,340,82,0,0,0,0
7,528,63,176,0,0,0,0
8,1536,8,142,0,0,0,0
9,553,1,41,0,0,0,0
10,593,7,402,0,0,0,121
11,709,22,231,0,0,0,0
12,759,25,228,0,0,0,22
13,591,244,188,0,0,0,14
14,672,393,1,0,0,0,7
15,921,166,177,0,0,506,2
16,1099,11,70,0,0,77,32
17,547,159,11,0,0,14,0
18,528,10,128,0,0,46,1
19,1042,15,391,0,0,24,1
20,438,22,378,0,0,6,0
21,474,311,477,0,0,20,2
22,1124,50,527,0,0,0,0
23,798,179,358,0,0,22,0
24,637,309,382,0,0,263,0
25,843,222,347,0,0,61,0
26,691,4,615,0,0,175,0
27,962,0,848,0,0,1,0
28,1213,0,1359,0,0,69,0
29,642,0,291,0,0,146,0
30,837,0,41,0,0,27,0
31,449,0,492,0,0,46,1
32,251,21,306,0,0,1001,0
33,271,2,8,0,0,418,0
34,17,0,0,0,0,0,0
35,12,0,0,0,0,0,0
36,45,20,44,0,0,4,0
37,740,579,62,0,0,1,2
38,341,2543,2,0,0,94,0
39,255,473,23,0,0,0,0
40,193,781,35,0,0,4,39
41,589,1612,511,0,0,108,0
42,567,1210,184,0,0,24,0
43,835,565,65,0,0,0,0
44,991,798,331,0,0,0,0
45,1253,1501,471,0,0,1,0
46,1084,344,190,0,0,0,0
47,826,757,39,0,0,0,0
48,1101,529,7,0,0,0,0
49,1153,989,48,0,0,0,0
50,478,715,400,0,0,0,0
51,438,745,263,0,0,0,0
52,1229,410,351,0,0,0,0
53,644,245,2,0,0,0,0
54,872,413,0,0,0,0,0
55,447,583,4,0,0,0,0
56,348,123,28,0,0,0,0
57,879,312,1,0,0,0,0
58,480,783,87,0,0,0,0
59,905,1150,8,0,0,0,0
60,923,250,13,0,0,0,0
61,760,184,55,0,0,0,0
62,400,18,10,0,0,0,0
63,516,0,15,0,0,0,0
64,558,0,0,0,0,0,0
65,696,0,1,0,0,0,0
66,581,163,9,0,0,0,0
67,405,135,7,0,0,0,0
68,470,18,13,0,0,0,0
69,349,0,47,0,0,0,61
70,429,0,4,0,0,0,31
71,666,154,3,0,0,0,0
72,473,62,24,0,0,0,0
73,385,330,421,0,0,0,0
74,474,169,428,0,0,0,0
75,366,29,282,0,0,0,0
76,711,2,414,0,0,0,0
77,253,0,174,0,0,0,0
78,843,0,510,0,0,0,0
79,1228,0,395,0,695,0,0
80,1097,17,92,0,2049,0,0
81,810,0,433,0,489,0,1
82,845,17,579,0,1344,0,3
83,285,25,0,0,169,0,1
84,1077,4,647,0,1,0,2098
85,307,30,1016,0,0,0,839
86,1152,210,523,0,0,0,195
87,932,20,13,0,75,0,136
88,571,69,274,0,545,0,33
89,491,280,13,0,92,0,31
90,812,350,149,0,0,0,77
91,722,1218,20,0,0,0,0
92,556,913,50,0,55,0,0
93,1210,961,149,104,8,0,12
94,395,545,82,52,0,0,0
95,544,707,30,8,32,0,0
96,413,717,411,209,13,0,0
97,340,823,234,374,14,0,0
98,966,1047,1404,388,9,0,0
99,884,1274,2447,150,112,0,4
100,834,968,1172,119,29,0,3
101,740,577,488,248,1,0,0
102,969,940,622,974,1,0,0
103,1007,888,706,154,31,0,0
104,591,594,269,187,4,0,0
105,545,457,517,11,0,0,0
106,657,327,9,0,0,0,0
107,875,262,258,91,4,0,0
108,1599,116,28,189,5,0,0
109,1120,782,2429,16,36,0,0
110,773,777,729,38,18,0,0
111,567,1158,405,208,31,0,0
112,685,109,0,184,2,0,0
113,569,196,25,387,1,0,0
114,637,40,301,221,0,0,1
115,393,0,535,436,14,0,0
