Hours,Alex,Jeff,Emily,Joe,Luke,Richard,Pete,Will
2017-02-20 00:00,125,43,4,692,946,443,45,14
2017-02-20 03:00,3,26,0,7,16,22,1,0
2017-02-20 06:00,31,6,0,283,130,231,66,24
2017-02-20 09:00,27,18,0,1325,964,690,217,99
2017-02-20 12:00,25,29,0,1804,1490,926,235,203
2017-02-20 15:00,41,117,0,1447,1422,907,144,89
2017-02-20 18:00,18,35,17,1366,4255,4043,278,98
2017-02-20 21:00,12,138,2,1298,4477,3803,267,62
2017-02-21 00:00,0,64,2,445,275,215,79,0
2017-02-21 03:00,1,63,5,20,4,5,0,0
2017-02-21 06:00,20,32,0,421,163,206,99,26
2017-02-21 09:00,12,4,0,1629,1175,820,248,73
2017-02-21 12:00,32,43,1,1658,953,579,165,86
2017-02-21 15:00,20,252,0,1393,1024,550,167,85
2017-02-21 18:00,67,73,0,967,1322,1431,248,88
2017-02-21 21:00,15,44,0,1114,1578,1245,506,49
2017-02-22 00:00,1,38,2,138,237,183,21,0
2017-02-22 03:00,0,34,16,11,3,1,24,0
2017-02-22 06:00,8,16,1,390,191,179,62,5
2017-02-22 09:00,4,6,0,1460,1188,687,250,62
2017-02-22 12:00,17,51,0,1533,1169,714,201,136
2017-02-22 15:00,51,338,2,1531,722,673,111,235
2017-02-22 18:00,39,106,0,1130,975,1031,224,67
2017-02-22 21:00,20,44,1,1027,1326,1015,372,52
2017-02-23 00:00,0,47,0,174,447,308,23,0
2017-02-23 03:00,0,19,0,15,1,0,0,0
2017-02-23 06:00,6,9,1,294,92,253,91,6
2017-02-23 09:00,1,0,0,1015,589,659,90,77
2017-02-23 12:00,18,110,0,1778,1064,729,221,129
2017-02-23 15:00,33,184,1,1215,621,538,191,172
2017-02-23 18:00,43,211,7,1303,944,837,175,131
2017-02-23 21:00,27,196,1,1088,1478,1232,237,98
2017-02-24 00:00,37,111,1,591,411,257,58,1
2017-02-24 03:00,0,27,3,0,13,27,1,0
2017-02-24 06:00,21,15,2,354,112,275,62,24
2017-02-24 09:00,10,81,0,1655,835,725,324,164
2017-02-24 12:00,19,160,0,1581,1193,801,171,112
2017-02-24 15:00,23,361,1,1350,952,526,163,124
2017-02-24 18:00,14,317,0,1072,687,733,237,115
2017-02-24 21:00,12,66,0,505,909,744,202,42
2017-02-25 00:00,0,93,0,402,729,790,8,32
2017-02-25 03:00,0,17,0,11,52,136,2,1
2017-02-25 06:00,4,27,0,81,4,82,33,13
2017-02-25 09:00,6,37,0,595,181,657,237,128
2017-02-25 12:00,9,23,0,785,550,734,137,68
2017-02-25 15:00,20,165,5,957,1208,879,52,84
2017-02-25 18:00,18,242,11,1658,2218,1387,228,52
2017-02-25 21:00,84,170,145,1560,2258,1596,178,12
2017-02-26 00:00,17,65,9,283,452,293,17,6
2017-02-26 03:00,2,11,1,19,6,19,17,0
2017-02-26 06:00,4,32,1,97,38,91,50,6
2017-02-26 09:00,18,60,0,730,326,747,177,85
2017-02-26 12:00,51,12,0,1372,1546,1251,294,47
2017-02-26 15:00,175,237,15,1165,1643,1304,173,82
2017-02-26 18:00,1411,376,253,4701,4330,3705,150,505
2017-02-26 21:00,1152,209,186,3904,3523,2430,193,233
2017-02-27 00:00,125,43,4,692,946,443,45,14
