Hours,Alex,Jeff,Emily,Joe,Luke,Richard,Pete,Will
2017-02-20 0:00,123,22,2,505,502,65,0,12
2017-02-20 3:00,3,18,0,7,15,22,1,0
2017-02-20 6:00,29,1,0,140,50,119,1,16
2017-02-20 9:00,26,0,0,502,339,245,1,34
2017-02-20 12:00,20,0,0,442,336,183,60,65
2017-02-20 15:00,22,5,0,252,237,93,0,33
2017-02-20 18:00,14,0,1,266,232,127,0,37
2017-02-20 21:00,5,1,1,251,284,135,0,9
2017-02-21 0:00,0,2,2,140,84,6,0,0
2017-02-21 3:00,1,24,2,6,0,0,0,0
2017-02-21 6:00,15,2,0,177,49,110,3,12
2017-02-21 9:00,8,0,0,722,450,370,1,57
2017-02-21 12:00,20,0,0,622,375,186,11,61
2017-02-21 15:00,11,49,0,348,277,85,1,33
2017-02-21 18:00,56,8,0,319,227,123,3,54
2017-02-21 21:00,12,5,0,114,144,65,2,20
2017-02-22 0:00,0,3,0,3,21,6,0,0
2017-02-22 3:00,0,2,0,0,0,0,0,0
2017-02-22 6:00,4,0,0,130,81,42,1,1
2017-02-22 9:00,4,2,0,563,365,267,9,40
2017-02-22 12:00,12,32,0,417,378,186,0,23
2017-02-22 15:00,33,9,0,260,119,118,0,18
2017-02-22 18:00,29,1,0,216,146,192,0,17
2017-02-22 21:00,6,0,0,181,165,73,0,17
2017-02-23 0:00,0,1,0,2,12,12,0,0
2017-02-23 3:00,0,3,0,0,0,0,0,0
2017-02-23 6:00,4,1,0,61,20,18,4,1
2017-02-23 9:00,0,0,0,185,139,118,0,7
2017-02-23 12:00,15,1,0,300,170,214,8,20
2017-02-23 15:00,16,37,0,273,119,85,0,44
2017-02-23 18:00,38,10,0,206,139,137,1,13
2017-02-23 21:00,24,2,0,295,370,197,1,36
2017-02-24 0:00,37,7,0,319,308,19,0,0
2017-02-24 3:00,0,3,0,0,2,5,0,0
2017-02-24 6:00,11,8,0,149,47,114,0,18
2017-02-24 9:00,5,9,0,334,125,132,10,61
2017-02-24 12:00,11,4,0,204,190,102,1,53
2017-02-24 15:00,8,5,0,141,146,71,0,21
2017-02-24 18:00,5,1,0,66,36,42,0,11
2017-02-24 21:00,9,0,0,84,126,11,0,12
2017-02-25 0:00,0,2,0,56,19,48,2,1
2017-02-25 3:00,0,0,0,0,0,0,0,0
2017-02-25 6:00,1,0,0,4,0,2,0,4
2017-02-25 9:00,2,0,0,44,13,11,2,19
2017-02-25 12:00,0,0,0,111,29,51,19,4
2017-02-25 15:00,13,3,0,128,123,57,2,8
2017-02-25 18:00,12,2,0,109,95,87,0,7
2017-02-25 21:00,81,4,0,549,681,411,0,3
2017-02-26 0:00,16,1,0,202,287,100,0,5
2017-02-26 3:00,0,2,0,0,2,1,0,0
2017-02-26 6:00,0,0,0,7,0,1,0,0
2017-02-26 9:00,12,1,0,129,58,87,0,8
2017-02-26 12:00,37,0,0,415,456,300,1,20
2017-02-26 15:00,173,31,0,578,714,535,1,21
2017-02-26 18:00,1390,96,39,3647,2322,2037,7,376
2017-02-26 21:00,1114,47,15,3191,2284,1233,1,114
2017-02-27 0:00,123,22,2,505,502,65,0,12
