Hours,Alex,Jeff,Emily,Joe,Luke,Richard,Pete,Will
2017-02-20 00:00,2,20,2,66,93,36,3,2
2017-02-20 03:00,0,8,0,0,1,0,0,0
2017-02-20 06:00,0,1,0,100,45,81,38,5
2017-02-20 09:00,1,18,0,679,547,359,151,55
2017-02-20 12:00,3,11,0,973,694,371,141,111
2017-02-20 15:00,13,57,0,972,753,423,116,26
2017-02-20 18:00,0,25,6,751,1016,708,147,38
2017-02-20 21:00,6,127,1,836,1124,701,190,47
2017-02-21 00:00,0,61,0,274,153,196,79,0
2017-02-21 03:00,0,12,2,0,4,0,0,0
2017-02-21 06:00,0,19,0,200,93,77,73,10
2017-02-21 09:00,4,4,0,739,562,291,171,12
2017-02-21 12:00,11,36,0,875,421,279,122,22
2017-02-21 15:00,4,195,0,815,619,403,143,47
2017-02-21 18:00,4,23,0,384,576,589,108,31
2017-02-21 21:00,2,26,0,679,915,616,321,24
2017-02-22 00:00,1,25,2,89,168,112,10,0
2017-02-22 03:00,0,32,16,2,3,1,23,0
2017-02-22 06:00,4,15,1,226,107,119,53,4
2017-02-22 09:00,0,4,0,820,748,362,197,19
2017-02-22 12:00,4,11,0,936,734,362,170,88
2017-02-22 15:00,6,198,2,870,407,469,106,101
2017-02-22 18:00,4,73,0,594,515,559,139,36
2017-02-22 21:00,14,36,1,605,755,473,230,35
2017-02-23 00:00,0,34,0,95,169,49,20,0
2017-02-23 03:00,0,13,0,11,1,0,0,0
2017-02-23 06:00,1,8,1,185,52,156,46,4
2017-02-23 09:00,1,0,0,620,355,249,49,41
2017-02-23 12:00,1,38,0,1108,626,392,119,100
2017-02-23 15:00,3,105,0,744,440,328,142,103
2017-02-23 18:00,5,143,7,724,616,452,159,112
2017-02-23 21:00,1,140,1,573,606,429,189,45
2017-02-24 00:00,0,97,1,226,68,191,39,1
2017-02-24 03:00,0,15,1,0,11,15,0,0
2017-02-24 06:00,8,7,2,183,62,133,34,6
2017-02-24 09:00,4,72,0,1162,633,478,232,96
2017-02-24 12:00,5,94,0,1122,797,480,123,46
2017-02-24 15:00,10,314,1,1010,670,360,116,93
2017-02-24 18:00,7,137,0,612,572,570,209,99
2017-02-24 21:00,1,63,0,331,483,385,148,30
2017-02-25 00:00,0,83,0,318,671,600,4,31
2017-02-25 03:00,0,11,0,9,47,120,2,0
2017-02-25 06:00,2,14,0,56,3,62,30,4
2017-02-25 09:00,3,37,0,501,162,454,177,105
2017-02-25 12:00,8,19,0,532,465,486,82,33
2017-02-25 15:00,3,92,1,619,709,505,46,49
2017-02-25 18:00,3,192,10,867,1069,479,152,36
2017-02-25 21:00,2,112,46,474,627,495,115,8
2017-02-26 00:00,0,62,6,57,136,169,14,0
2017-02-26 03:00,2,8,1,19,4,18,17,0
2017-02-26 06:00,4,32,1,77,38,66,49,6
2017-02-26 09:00,4,59,0,488,232,393,145,72
2017-02-26 12:00,13,10,0,636,651,577,191,23
2017-02-26 15:00,1,146,15,391,604,395,137,59
2017-02-26 18:00,5,140,121,624,799,537,129,46
2017-02-26 21:00,4,34,62,400,409,318,47,40
2017-02-27 00:00,2,20,2,66,93,36,3,2
