Hours,Alex,Jeff,Emily,Joe,Luke,Richard,Pete,Will
2017-02-20 00:00,0,0,0,0,2,0,0,0
2017-02-20 03:00,0,0,0,0,0,0,0,0
2017-02-20 06:00,1,0,0,2,21,0,11,0
2017-02-20 09:00,0,0,0,48,39,47,44,0
2017-02-20 12:00,0,0,0,74,17,40,20,24
2017-02-20 15:00,0,0,0,12,17,9,7,0
2017-02-20 18:00,0,0,0,58,62,61,19,0
2017-02-20 21:00,1,0,0,12,10,4,6,0
2017-02-21 00:00,0,0,0,3,3,0,0,0
2017-02-21 03:00,0,0,0,0,0,0,0,0
2017-02-21 06:00,0,0,0,0,0,4,17,0
2017-02-21 09:00,0,0,0,26,21,65,34,0
2017-02-21 12:00,1,1,1,30,16,57,13,1
2017-02-21 15:00,0,4,0,15,1,9,15,0
2017-02-21 18:00,0,0,0,0,3,35,14,0
2017-02-21 21:00,0,5,0,79,18,44,62,0
2017-02-22 00:00,0,1,0,0,0,18,0,0
2017-02-22 03:00,0,0,0,7,0,0,1,0
2017-02-22 06:00,0,0,0,1,0,0,3,0
2017-02-22 09:00,0,0,0,24,8,29,2,0
2017-02-22 12:00,0,0,0,58,2,118,22,0
2017-02-22 15:00,0,0,0,24,47,21,2,1
2017-02-22 18:00,0,0,0,57,2,100,56,0
2017-02-22 21:00,0,0,0,27,86,39,51,0
2017-02-23 00:00,0,10,0,71,265,228,0,0
2017-02-23 03:00,0,0,0,0,0,0,0,0
2017-02-23 06:00,0,0,0,6,0,46,26,0
2017-02-23 09:00,0,0,0,34,37,92,23,0
2017-02-23 12:00,0,0,0,61,28,77,58,4
2017-02-23 15:00,0,0,0,35,19,42,42,0
2017-02-23 18:00,0,4,0,19,4,17,2,0
2017-02-23 21:00,0,10,0,38,18,32,22,0
2017-02-24 00:00,0,3,0,7,0,28,0,0
2017-02-24 03:00,0,0,0,0,0,7,0,0
2017-02-24 06:00,0,0,0,3,0,5,14,0
2017-02-24 09:00,0,0,0,13,6,22,15,0
2017-02-24 12:00,0,6,0,59,73,121,32,0
2017-02-24 15:00,0,1,0,54,32,49,35,0
2017-02-24 18:00,1,1,0,5,18,7,0,0
2017-02-24 21:00,0,3,0,6,9,29,0,0
2017-02-25 00:00,0,0,0,11,8,8,0,0
2017-02-25 03:00,0,4,0,0,0,0,0,0
2017-02-25 06:00,0,0,0,0,0,0,3,0
2017-02-25 09:00,0,0,0,10,0,7,9,2
2017-02-25 12:00,0,0,0,5,2,13,16,0
2017-02-25 15:00,0,0,0,3,24,16,2,0
2017-02-25 18:00,0,0,0,5,13,4,5,2
2017-02-25 21:00,0,0,0,9,1,0,1,0
2017-02-26 00:00,0,0,0,0,0,0,0,0
2017-02-26 03:00,0,0,0,0,0,0,0,0
2017-02-26 06:00,0,0,0,2,0,0,1,0
2017-02-26 09:00,0,0,0,19,0,8,2,0
2017-02-26 12:00,0,0,0,86,60,129,21,1
2017-02-26 15:00,0,1,0,45,38,57,25,0
2017-02-26 18:00,0,2,0,2,0,1,0,0
2017-02-26 21:00,0,0,0,14,18,11,5,5
2017-02-27 00:00,0,0,0,0,2,0,0,0
