Hours,Alex,Jeff,Emily,Joe,Luke,Richard,Pete,Will
2017-02-20 00:00,0,0,0,120,349,342,42,0
2017-02-20 03:00,0,0,0,0,0,0,0,0
2017-02-20 06:00,0,0,0,3,9,16,4,0
2017-02-20 09:00,0,0,0,5,4,11,7,1
2017-02-20 12:00,0,0,0,140,331,282,3,0
2017-02-20 15:00,0,0,0,90,312,352,19,0
2017-02-20 18:00,0,0,0,227,2905,3123,95,5
2017-02-20 21:00,0,0,0,147,3006,2923,70,4
2017-02-21 00:00,0,0,0,28,33,8,0,0
2017-02-21 03:00,0,0,0,0,0,5,0,0
2017-02-21 06:00,0,11,0,6,1,0,4,1
2017-02-21 09:00,0,0,0,72,85,81,37,1
2017-02-21 12:00,0,0,0,62,84,4,8,0
2017-02-21 15:00,0,0,0,65,74,23,4,0
2017-02-21 18:00,0,0,0,133,439,617,117,0
2017-02-21 21:00,0,0,0,206,478,513,121,0
2017-02-22 00:00,0,3,0,44,46,47,11,0
2017-02-22 03:00,0,0,0,0,0,0,0,0
2017-02-22 06:00,0,0,0,8,2,10,3,0
2017-02-22 09:00,0,0,0,53,56,23,35,0
2017-02-22 12:00,0,0,0,29,31,23,3,0
2017-02-22 15:00,0,9,0,22,33,17,0,0
2017-02-22 18:00,0,1,0,13,49,147,27,0
2017-02-22 21:00,0,0,0,151,280,417,72,0
2017-02-23 00:00,0,0,0,6,1,19,3,0
2017-02-23 03:00,0,0,0,0,0,0,0,0
2017-02-23 06:00,0,0,0,0,9,12,0,0
2017-02-23 09:00,0,0,0,67,30,48,2,1
2017-02-23 12:00,0,0,0,29,35,1,0,0
2017-02-23 15:00,0,0,1,6,20,15,0,0
2017-02-23 18:00,0,0,0,116,122,96,3,0
2017-02-23 21:00,0,0,0,85,478,522,24,0
2017-02-24 00:00,0,0,0,39,33,14,19,0
2017-02-24 03:00,0,0,0,0,0,0,0,0
2017-02-24 06:00,0,0,0,0,0,3,0,0
2017-02-24 09:00,0,0,0,17,27,1,5,0
2017-02-24 12:00,0,0,0,5,8,49,2,0
2017-02-24 15:00,0,8,0,23,14,26,7,0
2017-02-24 18:00,0,2,0,43,11,104,25,0
2017-02-24 21:00,0,0,0,74,277,305,47,0
2017-02-25 00:00,0,0,0,7,24,134,2,0
2017-02-25 03:00,0,0,0,0,1,16,0,0
2017-02-25 06:00,0,0,0,0,0,17,0,0
2017-02-25 09:00,0,0,0,5,3,165,31,0
2017-02-25 12:00,0,0,0,24,28,153,15,0
2017-02-25 15:00,0,0,0,20,260,290,2,0
2017-02-25 18:00,0,0,0,325,704,804,63,0
2017-02-25 21:00,0,0,0,263,735,688,60,0
2017-02-26 00:00,0,0,0,23,28,24,3,0
2017-02-26 03:00,0,0,0,0,0,0,0,0
2017-02-26 06:00,0,0,0,2,0,22,0,0
2017-02-26 09:00,0,0,0,83,35,241,26,0
2017-02-26 12:00,0,0,0,86,286,212,79,0
2017-02-26 15:00,0,0,0,4,198,317,7,0
2017-02-26 18:00,0,23,0,10,815,1079,6,4
2017-02-26 21:00,0,1,0,125,714,835,133,0
2017-02-27 00:00,0,0,0,120,349,342,42,0
